23, 0.0001800000
24, 0.0003020000
25, 0.0004560000
26, 0.0010290000
27, 0.0012300000
28, 0.0022000000
29, 0.0035220000
30, 0.0052540000
31, 0.0084590000
32, 0.0131540000
33, 0.0212420000
34, 0.0358130000
35, 0.0576020000
36, 0.0974950000
37, 0.1512270000
38, 0.2477450000
39, 0.4045490000
40, 0.6386470000
41, 1.0576990000
23, 0.0001710000
24, 0.0002850000
25, 0.0004610000
26, 0.0007420000
27, 0.0011900000
28, 0.0018930000
29, 0.0031900000
30, 0.0050120000
31, 0.0082570000
32, 0.0131450000
33, 0.0213740000
34, 0.0353820000
35, 0.0563250000
36, 0.0941830000
37, 0.1498670000
38, 0.2504260000
39, 0.3911740000
40, 0.6506360000
41, 1.0149410000
23, 0.0001750000
24, 0.0002850000
25, 0.0004560000
26, 0.0007280000
27, 0.0011810000
28, 0.0019290000
29, 0.0031170000
30, 0.0051470000
31, 0.0082200000
32, 0.0134590000
33, 0.0217990000
34, 0.0351570000
35, 0.0568860000
36, 0.0932090000
37, 0.1493700000
38, 0.2408460000
39, 0.3909850000
40, 0.6437080000
41, 1.0359740000
23, 0.0001870000
24, 0.0003450000
25, 0.0004490000
26, 0.0007320000
27, 0.0011940000
28, 0.0019080000
29, 0.0031380000
30, 0.0051290000
31, 0.0081550000
32, 0.0132490000
33, 0.0216270000
34, 0.0353520000
35, 0.0567290000
36, 0.0913900000
37, 0.1514970000
38, 0.2455500000
39, 0.3970460000
40, 0.6392910000
41, 1.0482180000
23, 0.0001710000
24, 0.0002760000
25, 0.0004600000
26, 0.0007470000
27, 0.0012680000
28, 0.0021300000
29, 0.0033240000
30, 0.0057650000
31, 0.0088140000
32, 0.0135470000
33, 0.0216120000
34, 0.0352430000
35, 0.0563560000
36, 0.0944850000
37, 0.1497760000
38, 0.2469570000
39, 0.3976180000
40, 0.6383210000
41, 1.0391810000
23, 0.0001800000
24, 0.0002830000
25, 0.0004560000
26, 0.0008060000
27, 0.0011890000
28, 0.0020660000
29, 0.0032220000
30, 0.0055180000
31, 0.0082190000
32, 0.0134490000
33, 0.0218130000
34, 0.0353670000
35, 0.0561670000
36, 0.0923090000
37, 0.1506270000
38, 0.2442440000
39, 0.3945020000
40, 0.6440910000
41, 1.0326450000
23, 0.0001790000
24, 0.0004950000
25, 0.0004510000
26, 0.0007420000
27, 0.0011760000
28, 0.0019090000
29, 0.0032740000
30, 0.0050580000
31, 0.0083010000
32, 0.0135310000
33, 0.0238460000
34, 0.0363390000
35, 0.0577430000
36, 0.0919750000
37, 0.1491520000
38, 0.2438980000
39, 0.3927910000
40, 0.6452180000
41, 1.0578510000
23, 0.0001870000
24, 0.0002840000
25, 0.0004570000
26, 0.0007880000
27, 0.0012580000
28, 0.0021420000
29, 0.0032960000
30, 0.0054950000
31, 0.0086620000
32, 0.0134440000
33, 0.0220660000
34, 0.0359500000
35, 0.0587180000
36, 0.0955270000
37, 0.1623510000
38, 0.2412180000
39, 0.4109610000
40, 0.6499760000
41, 1.0231640000
23, 0.0001780000
24, 0.0002900000
25, 0.0004580000
26, 0.0007330000
27, 0.0011710000
28, 0.0020370000
29, 0.0031490000
30, 0.0049310000
31, 0.0086320000
32, 0.0132740000
33, 0.0221870000
34, 0.0350420000
35, 0.0586710000
36, 0.0978420000
37, 0.1582310000
38, 0.2572860000
39, 0.3911610000
40, 0.6524250000
41, 1.0618560000
23, 0.0001870000
24, 0.0002760000
25, 0.0004490000
26, 0.0007370000
27, 0.0011700000
28, 0.0021150000
29, 0.0032310000
30, 0.0056340000
31, 0.0099060000
32, 0.0134370000
33, 0.0217000000
34, 0.0352900000
35, 0.0563010000
36, 0.0932040000
37, 0.1488620000
38, 0.2457750000
39, 0.4057340000
40, 0.6334440000
41, 1.0270840000
